Batch Number,Time (s)
1,0.008
2,0.008
3,0.007
4,0.007
5,0.008
6,0.007
7,0.007
8,0.007
9,0.006
10,0.007
11,0.007
12,0.0081
13,0.0079
14,0.008
15,0.007
16,0.007
17,0.007
18,0.007
19,0.009
20,0.008
21,0.008
22,0.007
23,0.007
24,0.007
25,0.008
26,0.007
27,0.007
28,0.008
29,0.007
30,0.007
31,0.007
32,0.007
33,0.008
34,0.008
35,0.007
36,0.007
37,0.007
38,0.008
39,0.0071
40,0.007
41,0.007
42,0.007
43,0.007
44,0.008
45,0.007
46,0.007
47,0.008
48,0.007
49,0.008
50,0.009
51,0.008
52,0.008
53,0.007
54,0.008
55,0.007
56,0.008
57,0.007
58,0.007
59,0.007
60,0.007
61,0.008
62,0.007
63,0.007
64,0.008
65,0.007
66,0.0081
67,0.007
68,0.008
69,0.011
70,0.007
71,0.008
72,0.008
73,0.008
74,0.007
75,0.008
76,0.009
77,0.0105
78,0.008
79,0.011
80,0.007
81,0.007
82,0.007
83,0.011
84,0.006
85,0.008
86,0.007
87,0.007
88,0.008
89,0.0095
90,0.007
91,0.008
92,0.007
93,0.012
94,0.007
95,0.008
96,0.008
97,0.008
98,0.009
99,0.007
100,0.007
101,0.007
102,0.0082
103,0.007
104,0.008
105,0.007
106,0.009
107,0.007
108,0.007
109,0.007
110,0.01
111,0.008
112,0.009
113,0.008
114,0.008
115,0.0071
116,0.011
117,0.014
118,0.008
119,0.01
120,0.013
121,0.007
122,0.012
123,0.008
124,0.007
125,0.008
126,0.012
127,0.01
128,0.011
129,0.008
130,0.008
131,0.007
132,0.008
133,0.009
134,0.008
135,0.007
136,0.008
137,0.007
138,0.007
139,0.007
140,0.007
141,0.007
142,0.007
143,0.008
144,0.013
145,0.007
146,0.009
147,0.008
148,0.0103
149,0.008
150,0.007
151,0.007
152,0.012
153,0.007
154,0.007
155,0.008
156,0.007
157,0.01
158,0.008
159,0.01
160,0.0105
161,0.007
162,0.01
163,0.008
164,0.009
165,0.008
166,0.007
167,0.006
168,0.01
169,0.007
170,0.008
171,0.007
172,0.0081
173,0.008
174,0.008
175,0.007
176,0.008
177,0.008
178,0.009
179,0.007
180,0.007
181,0.008
182,0.01
183,0.014
184,0.008
185,0.007
186,0.008
187,0.008
188,0.007
189,0.008
190,0.007
191,0.008
192,0.007
193,0.008
194,0.01
195,0.01
196,0.0092
197,0.007
198,0.008
199,0.007
200,0.007
201,0.014
202,0.009
203,0.009
204,0.01
205,0.008
206,0.008
207,0.008
208,0.008
209,0.008
210,0.009
211,0.007
212,0.013
213,0.008
214,0.007
215,0.007
216,0.008
217,0.01
218,0.008
219,0.009
220,0.011
221,0.008
222,0.008
223,0.008
224,0.007
225,0.007
226,0.007
227,0.007
228,0.007
229,0.012
230,0.007
231,0.0075
232,0.008
233,0.007
234,0.01
235,0.007
236,0.01
237,0.008
238,0.009
239,0.009
240,0.007
241,0.007
242,0.014
243,0.0085
244,0.007
245,0.008
246,0.009
247,0.009
248,0.008
249,0.007
250,0.007
251,0.008
252,0.007
253,0.008
254,0.007
255,0.008
256,0.0071
257,0.007
258,0.009
259,0.011
260,0.008
261,0.007
262,0.007
263,0.008
264,0.008
265,0.007
266,0.007
267,0.01
268,0.0073
269,0.007
270,0.007
271,0.008
272,0.01
273,0.007
274,0.007
275,0.008
276,0.007
277,0.012
278,0.009
279,0.007
280,0.0075
281,0.007
282,0.007
283,0.007
284,0.007
285,0.007
286,0.007
287,0.01
288,0.008
289,0.008
290,0.007
291,0.009
292,0.008
293,0.009
294,0.007
295,0.007
296,0.007
297,0.01
298,0.007
299,0.007
300,0.008
301,0.01
302,0.007
303,0.007
304,0.008
305,0.01
306,0.0131
307,0.008
308,0.007
309,0.008
310,0.007
311,0.007
312,0.008
313,0.007
314,0.008
315,0.009
316,0.009
317,0.009
318,0.008
319,0.007
320,0.007
321,0.007
322,0.007
323,0.008
324,0.008
325,0.01
326,0.007
327,0.007
328,0.008
329,0.007
330,0.01
331,0.008
332,0.01
333,0.008
334,0.007
335,0.008
336,0.007
337,0.008
338,0.009
339,0.011
340,0.008
341,0.009
342,0.0091
343,0.008
344,0.007
345,0.008
346,0.007
347,0.009
348,0.012
349,0.008
350,0.008
351,0.007
352,0.009
353,0.01
354,0.0093
355,0.013
356,0.007
357,0.008
358,0.007
359,0.008
360,0.007
361,0.007
362,0.007
363,0.007
364,0.009
365,0.0125
366,0.007
367,0.008
368,0.007
369,0.012
370,0.01
371,0.008
372,0.007
373,0.007
374,0.008
375,0.012
376,0.007
377,0.0075
378,0.008
379,0.007
380,0.008
381,0.007
382,0.009
383,0.008
384,0.007
385,0.007
386,0.011
387,0.008
388,0.011
389,0.0102
390,0.012
391,0.008
392,0.007
393,0.012
394,0.008
395,0.007
396,0.008
397,0.007
398,0.007
399,0.009
400,0.007
401,0.01
